순번,제목,주체,기간,접수 가능 여부
1,2024 삼성증권 대학생 숏폼 공모전,삼성증권,24.03.15~24.06.03,접수중
2,2024 에프앤가이드 금융 데이터 혁신 창업경진대회,에프앤가이드,24.03.11~24.05.17,접수중
3,2024 대한민국 공군 창업 경진대회,공군본부,24.03.04~24.04.22,접수중
4,2024 대한민국 해병창업경진대회,대한민국 해병대,24.03.04~24.04.11,접수중
5,홍이장군 어린이 댄스대회,정관장,24.03.18~24.04.15,접수중
6,제 1회 서울조각상 공모,서울시,24.04.11~24.04.17,접수예정
7,제1회 대구광역시 동구 공공디자인 공모전,대구광역시 동구,24.05.01~24.05.31,접수예정
8,2024 광양시 캐릭터 매돌이 인스타툰 공모전,광양시,24.03.25~24.03.31,접수예정
9,항공우주기술 기반 예비창업자 지원 사업 2024 STAR-Exploration,한국항공우주연구원,24.03.20~24.04.12,접수중
10,2024 성남청년 창업역량강화 프로젝트 THE와플 2기 모집,성남시청소년재단,24.03.06~24.05.05,접수중
11,창원아트그라운드 사진공모전 (창원국가산단50주년),클라스문,24.03.11~24.03.25,접수중
12,2024 업사이클링 컨테스트,(사)한국유니폼협회,24.03.18~24.05.10,접수중
13,춘천원도심봄나들거리축제 쇼츠영화제,(재)강원정보문화산업진…,24.03.20~24.04.02,접수중
14,제27회 동춘당 전국휘호대회,대덕구,24.03.20~24.04.25,접수중
15,제1회 OLMO 미술작품 공모전,부산레이디스로타리,24.03.18~24.04.18,접수중
